data,hora,temperaturaInst,temperaturaMax,temperaturaMin
01/06/2015,0,14.8,15.00,14.00
01/06/2015,1,13.6,15.00,13.6
01/06/2015,2,13.2,14.2,13.1
01/06/2015,3,12.7,13.7,12.7
01/06/2015,4,12.4,12.8,12.3
01/06/2015,5,12.00,12.4,11.8
01/06/2015,6,11.4,12.2,11.4
01/06/2015,7,11.00,11.7,11.00
01/06/2015,8,10.6,11.00,10.4
01/06/2015,9,10.5,10.9,10.2
01/06/2015,10,9.6,10.6,9.6
01/06/2015,11,9.5,9.8,9.3
01/06/2015,12,10.9,11.1,9.5
01/06/2015,13,12.9,13.1,10.8
01/06/2015,14,15.2,15.2,12.8
01/06/2015,15,17.1,17.2,15.00
01/06/2015,16,18.4,18.8,17.00
01/06/2015,17,20.4,20.4,18.4
01/06/2015,18,21.1,21.2,19.8
01/06/2015,19,20.9,21.2,20.6
01/06/2015,20,20.5,21.1,20.4
01/06/2015,21,18.5,20.5,18.5
01/06/2015,22,17.3,18.5,16.5
01/06/2015,23,15.8,17.3,15.4
02/06/2015,0,15.6,16.00,14.7
02/06/2015,1,15.6,16.00,15.4
02/06/2015,2,12.3,15.9,12.3
02/06/2015,3,12.7,13.00,12.3
02/06/2015,4,11.9,12.7,11.7
02/06/2015,5,11.1,12.2,11.1
02/06/2015,6,10.5,11.1,10.5
02/06/2015,7,10.5,10.8,10.4
02/06/2015,8,10.4,10.7,10.1
02/06/2015,9,10.1,10.5,10.00
02/06/2015,10,9.8,10.2,9.7
02/06/2015,11,10.5,10.5,9.6
02/06/2015,12,12.7,12.7,10.5
02/06/2015,13,14.7,14.9,12.7
02/06/2015,14,16.9,17.00,14.6
02/06/2015,15,18.8,18.9,16.5
02/06/2015,16,20.2,20.8,18.5
02/06/2015,17,21.6,21.6,20.2
02/06/2015,18,22.2,22.6,21.3
02/06/2015,19,22.2,22.4,21.9
02/06/2015,20,21.5,22.3,21.5
02/06/2015,21,19.6,21.5,19.6
02/06/2015,22,18.5,19.6,18.4
02/06/2015,23,17.5,18.8,17.4
03/06/2015,0,17.1,18.1,16.2
03/06/2015,1,17.3,17.9,17.1
03/06/2015,2,15.5,17.3,15.5
03/06/2015,3,15.3,15.9,14.6
03/06/2015,4,14.7,15.5,14.5
03/06/2015,5,13.6,14.8,13.6
03/06/2015,6,12.7,14.1,12.7
03/06/2015,7,12.7,12.9,12.2
03/06/2015,8,12.2,12.8,11.9
03/06/2015,9,11.8,12.7,11.8
03/06/2015,10,12.00,12.2,11.2
03/06/2015,11,12.3,12.3,11.7
03/06/2015,12,13.6,13.8,12.2
03/06/2015,13,15.7,15.7,13.6
03/06/2015,14,17.3,17.5,15.4
03/06/2015,15,19.2,19.6,17.3
03/06/2015,16,20.6,21.00,19.2
03/06/2015,17,21.9,22.5,20.6
03/06/2015,18,22.6,22.9,21.8
03/06/2015,19,22.9,23.2,22.3
03/06/2015,20,21.1,23.2,21.1
03/06/2015,21,18.7,21.1,18.7
03/06/2015,22,17.9,18.8,17.7
03/06/2015,23,16.8,17.9,16.8
04/06/2015,0,15.8,16.9,15.8
04/06/2015,1,15.3,15.8,14.9
04/06/2015,2,15.00,15.4,15.00
04/06/2015,3,15.2,15.3,14.9
04/06/2015,4,15.9,16.1,15.2
04/06/2015,5,15.3,16.00,15.3
04/06/2015,6,15.2,15.5,15.2
04/06/2015,7,15.1,15.7,15.00
04/06/2015,8,14.5,15.1,14.5
04/06/2015,9,14.2,14.5,14.2
04/06/2015,10,13.9,14.2,13.9
04/06/2015,11,15.00,15.00,13.8
04/06/2015,12,16.00,16.3,14.7
04/06/2015,13,17.5,17.5,16.00
04/06/2015,14,19.9,20.2,17.5
04/06/2015,15,22.00,22.00,19.7
04/06/2015,16,23.6,23.9,21.7
04/06/2015,17,24.6,24.8,23.4
04/06/2015,18,25.4,25.9,24.6
04/06/2015,19,26.00,26.2,25.4
04/06/2015,20,25.1,26.00,25.1
04/06/2015,21,23.3,25.2,23.3
04/06/2015,22,22.1,23.3,21.9
04/06/2015,23,21.5,22.4,21.3
05/06/2015,0,20.6,21.6,20.6
05/06/2015,1,20.00,20.6,19.2
05/06/2015,2,19.4,20.1,19.3
05/06/2015,3,17.4,19.4,17.1
05/06/2015,4,17.4,17.8,16.8
05/06/2015,5,16.7,17.5,16.6
05/06/2015,6,16.4,16.9,16.4
05/06/2015,7,16.00,16.4,16.00
05/06/2015,8,15.7,16.00,15.6
05/06/2015,9,14.9,15.8,14.9
05/06/2015,10,14.9,15.1,14.3
05/06/2015,11,15.3,15.3,14.7
05/06/2015,12,17.4,17.4,15.3
05/06/2015,13,19.5,19.5,17.4
05/06/2015,14,21.4,21.6,19.3
05/06/2015,15,23.7,23.7,21.5
05/06/2015,16,25.3,25.7,23.6
05/06/2015,17,26.1,26.6,25.00
05/06/2015,18,25.9,26.7,25.9
05/06/2015,19,25.4,26.3,25.3
05/06/2015,20,24.6,25.8,24.6
05/06/2015,21,22.4,24.6,22.3
05/06/2015,22,21.00,22.4,21.00
05/06/2015,23,20.9,21.2,20.7
06/06/2015,0,20.4,20.9,20.1
06/06/2015,1,19.4,20.4,19.00
06/06/2015,2,18.3,19.6,18.3
06/06/2015,3,17.7,18.3,17.3
06/06/2015,4,16.7,17.7,16.2
06/06/2015,5,16.3,16.7,15.4
06/06/2015,6,15.1,16.4,15.1
06/06/2015,7,15.00,15.4,14.9
06/06/2015,8,15.00,15.1,14.9
06/06/2015,9,14.5,15.00,14.5
06/06/2015,10,14.00,14.5,13.9
06/06/2015,11,14.7,14.7,13.7
06/06/2015,12,16.6,16.6,14.7
06/06/2015,13,18.9,19.1,16.6
06/06/2015,14,21.4,21.7,18.6
06/06/2015,15,23.3,23.3,21.1
06/06/2015,16,24.7,24.9,23.2
06/06/2015,17,25.6,26.00,24.5
06/06/2015,18,25.7,26.1,25.00
06/06/2015,19,25.2,26.1,24.9
06/06/2015,20,24.00,25.4,24.00
06/06/2015,21,22.2,24.00,22.2
06/06/2015,22,21.9,22.6,21.8
06/06/2015,23,21.3,22.3,21.3
07/06/2015,0,20.2,21.3,20.1
07/06/2015,1,19.5,20.6,19.4
07/06/2015,2,19.3,20.00,19.1
07/06/2015,3,18.5,19.3,18.5
07/06/2015,4,18.3,18.9,18.3
07/06/2015,5,18.3,18.5,17.8
07/06/2015,6,17.4,18.4,17.4
07/06/2015,7,16.8,17.4,16.4
07/06/2015,8,16.5,17.2,16.5
07/06/2015,9,16.1,16.6,16.00
07/06/2015,10,15.9,16.4,15.1
07/06/2015,11,15.6,15.9,15.00
07/06/2015,12,18.3,18.3,15.6
07/06/2015,13,20.6,20.6,18.2
07/06/2015,14,23.00,23.00,20.3
07/06/2015,15,24.5,24.8,22.7
07/06/2015,16,26.1,26.2,24.2
07/06/2015,17,26.4,27.1,26.00
07/06/2015,18,26.4,26.8,26.00
07/06/2015,19,26.5,26.9,26.1
07/06/2015,20,25.8,26.7,25.8
07/06/2015,21,23.4,25.8,23.4
07/06/2015,22,21.5,23.5,21.5
07/06/2015,23,21.1,21.5,19.6
08/06/2015,0,19.2,21.1,19.1
08/06/2015,1,19.7,20.2,18.5
08/06/2015,2,18.4,20.2,18.1
08/06/2015,3,17.7,18.7,17.5
08/06/2015,4,15.7,17.7,15.7
08/06/2015,5,15.7,16.3,15.6
08/06/2015,6,15.3,15.7,15.1
08/06/2015,7,14.8,15.3,14.6
08/06/2015,8,15.3,15.3,14.1
08/06/2015,9,15.6,15.7,15.1
08/06/2015,10,15.1,15.6,14.7
08/06/2015,11,15.8,15.8,15.00
08/06/2015,12,16.9,16.9,15.8
08/06/2015,13,19.00,19.00,16.9
08/06/2015,14,21.00,21.6,19.00
08/06/2015,15,23.1,24.3,21.00
08/06/2015,16,25.3,25.6,23.00
08/06/2015,17,26.00,26.3,24.9
08/06/2015,18,26.4,27.1,25.7
08/06/2015,19,26.4,26.9,26.3
08/06/2015,20,25.5,26.6,25.5
08/06/2015,21,23.7,25.5,23.7
08/06/2015,22,21.4,23.7,21.4
08/06/2015,23,22.3,22.5,20.8
09/06/2015,0,21.4,22.3,21.4
09/06/2015,1,20.1,21.4,20.1
09/06/2015,2,18.9,20.1,18.4
09/06/2015,3,18.5,19.1,18.5
09/06/2015,4,17.8,18.6,17.7
09/06/2015,5,17.1,18.1,17.00
09/06/2015,6,17.00,17.3,17.00
09/06/2015,7,16.4,17.1,16.4
09/06/2015,8,16.4,16.7,16.1
09/06/2015,9,16.3,16.6,16.1
09/06/2015,10,15.7,16.4,15.5
09/06/2015,11,15.8,15.9,15.2
09/06/2015,12,18.00,18.00,15.9
09/06/2015,13,20.5,20.6,17.9
09/06/2015,14,22.6,22.6,20.4
09/06/2015,15,25.4,25.4,22.5
09/06/2015,16,26.3,26.7,24.7
09/06/2015,17,27.3,27.4,26.3
09/06/2015,18,28.3,28.3,26.7
09/06/2015,19,27.00,28.3,25.6
09/06/2015,20,25.8,27.00,25.8
09/06/2015,21,23.8,25.8,23.8
09/06/2015,22,21.3,23.8,21.3
09/06/2015,23,20.8,21.9,20.6
10/06/2015,0,21.00,21.3,20.6
10/06/2015,1,20.9,21.2,20.1
10/06/2015,2,20.00,21.00,20.00
10/06/2015,3,18.8,20.00,18.8
10/06/2015,4,18.9,19.00,18.6
10/06/2015,5,18.7,19.00,18.7
10/06/2015,6,18.5,18.9,18.5
10/06/2015,7,18.2,19.00,18.00
10/06/2015,8,18.4,18.4,18.1
10/06/2015,9,17.7,18.5,17.6
10/06/2015,10,17.5,18.4,16.2
10/06/2015,11,17.00,17.5,16.9
10/06/2015,12,19.9,20.00,16.8
10/06/2015,13,21.7,21.8,19.8
10/06/2015,14,24.6,24.6,21.8
10/06/2015,15,26.8,26.9,24.2
10/06/2015,16,27.00,27.6,26.4
10/06/2015,17,28.00,28.2,27.00
10/06/2015,18,28.00,28.4,27.4
10/06/2015,19,26.6,28.1,26.4
10/06/2015,20,25.7,27.1,25.7
10/06/2015,21,23.2,25.7,23.2
10/06/2015,22,21.9,23.5,21.9
10/06/2015,23,21.7,23.2,21.3
11/06/2015,0,21.1,21.9,20.2
11/06/2015,1,20.7,21.4,20.4
11/06/2015,2,19.4,20.7,19.4
11/06/2015,3,19.00,19.6,18.9
11/06/2015,4,19.3,19.4,19.00
11/06/2015,5,18.8,19.3,17.9
11/06/2015,6,18.1,18.8,17.3
11/06/2015,7,17.1,18.1,16.7
11/06/2015,8,16.9,17.5,16.8
11/06/2015,9,16.7,17.00,15.7
11/06/2015,10,17.2,18.00,16.5
11/06/2015,11,18.00,18.00,16.9
11/06/2015,12,18.7,18.7,18.00
11/06/2015,13,20.2,20.6,18.7
11/06/2015,14,20.5,21.2,20.2
11/06/2015,15,21.9,22.00,20.5
11/06/2015,16,23.7,23.7,21.9
11/06/2015,17,23.2,23.9,23.00
11/06/2015,18,19.2,23.2,19.2
11/06/2015,19,19.00,19.3,18.8
11/06/2015,20,18.7,19.00,18.6
11/06/2015,21,18.4,18.8,18.4
11/06/2015,22,18.00,18.5,18.00
11/06/2015,23,18.00,18.00,17.9
12/06/2015,0,18.00,18.00,17.9
12/06/2015,1,18.00,18.1,17.8
12/06/2015,2,16.8,17.9,16.8
12/06/2015,3,15.9,16.8,15.9
12/06/2015,4,15.4,15.9,15.3
12/06/2015,5,15.2,15.4,15.2
12/06/2015,6,15.1,15.3,15.1
12/06/2015,7,14.9,15.2,14.9
12/06/2015,8,14.8,14.9,14.7
12/06/2015,9,14.9,15.00,14.7
12/06/2015,10,14.6,14.9,14.6
12/06/2015,11,14.7,14.7,14.5
12/06/2015,12,15.1,15.1,14.7
12/06/2015,13,16.1,16.1,15.1
12/06/2015,14,17.7,17.7,16.1
12/06/2015,15,18.3,18.8,17.6
